,hl,hr,thetal_radian,thetar_radian,thetal_degree,thetar_degree,center_a,center_b,time
80,-0.0000836770,-0.0000142178,1.0812178000,1.5087833000,61.94921667441994,86.44691528982074,0.0002836350995189555,-0.00034651911891510486,0.0080000000
81,-0.0000841227,-0.0000136200,1.0798543000,1.5136625000,61.87109387905385,86.72647285722097,0.00028633309273392893,-0.00034922370375722997,0.0081000000
82,-0.0000845631,-0.0000130296,1.0778090000,1.5176877000,61.75390682121574,86.95709982891702,0.0002886369866881659,-0.00035029701674032306,0.0082000000
83,-0.0000849958,-0.0000124455,1.0764455000,1.5224423000,61.67578402584965,87.22951834218993,0.00029133264838058983,-0.00035296153835391467,0.0083000000
84,-0.0000854233,-0.0000118688,1.0750819000,1.5269521000,61.59765550090562,87.48791084863802,0.00029392610143295683,-0.0003554205902263311,0.0084000000
85,-0.0000858456,-0.0000112989,1.0737184000,1.5314608000,61.519532705539525,87.74624032972866,0.0002965531822548952,-0.00035792623056752487,0.0085000000
86,-0.0000862627,-0.0000107360,1.0723548000,1.5359687000,61.4414041805955,88.00452397419569,0.0002992145268296327,-0.00036047912552334804,0.0086000000
87,-0.0000866747,-0.0000101801,1.0709913000,1.5402322000,61.363281385229406,88.24880453014971,0.00030176525418978273,-0.0003628137615512056,0.0087000000
88,-0.0000870815,-0.0000096307,1.0696278000,1.5445559000,61.28515858986331,88.49653429203043,0.0003043839559906773,-0.0003652576410627053,0.0088000000
89,-0.0000874832,-0.0000090880,1.0682642000,1.5487572000,61.20703006491928,88.73725105049874,0.00030696063581596715,-0.0003676096415721129,0.0089000000
90,-0.0000878796,-0.0000085518,1.0675825000,1.5535664000,61.16797153202521,89.01279791333306,0.0003099313458695494,-0.00037156908492170333,0.0090000000
91,-0.0000882736,-0.0000080230,1.0662189000,1.5576451000,61.08984300708117,89.24649020923307,0.00031250236380712774,-0.0003738829429566294,0.0091000000
92,-0.0000886623,-0.0000075005,1.0648554000,1.5616018000,61.01172021171508,89.47319242003248,0.00031502562044040747,-0.00037609603229598275,0.0092000000
93,-0.0000890460,-0.0000069841,1.0634918000,1.5654974000,60.933591686771045,89.69639385870364,0.0003175378987255233,-0.00037827504006356127,0.0093000000
94,-0.0000894244,-0.0000064737,1.0628101000,1.5700620000,60.89453315387698,89.95792617386907,0.0003205163167786322,-0.00038219858938272116,0.0094000000
95,-0.0000898004,-0.0000059704,1.0614465000,1.5738356000,60.816404628932936,90.17413752743963,0.000323012557268595,-0.0003843220914734951,0.0095000000
96,-0.0000901711,-0.0000054728,1.0600830000,1.5774874000,60.73828183356685,90.3833702550655,0.0003254533665099337,-0.0003863329109559438,0.0096000000
97,-0.0000905368,-0.0000049809,1.0594012000,1.5818086000,60.69921757109483,90.63095677749743,0.0003283863937251457,-0.00039013984716310167,0.0097000000
98,-0.0000908998,-0.0000044957,1.0580377000,1.5853996000,60.62109477572874,90.8367059217289,0.0003308442378916257,-0.0003921554186961893,0.0098000000
99,-0.0000912578,-0.0000040160,1.0566741000,1.5888994000,60.5429662507847,91.0372296908688,0.00033326280151128326,-0.00039408803227090645,0.0099000000
100,-0.0000916106,-0.0000035417,1.0559924000,1.5930082000,60.503907717890634,91.27264658973215,0.00033615811881571934,-0.00039779372600514166,0.0100000000
101,-0.0000919609,-0.0000030737,1.0546288000,1.5964170000,60.42577919294659,91.46795644293634,0.00033856674660865993,-0.00039968381636806306,0.0101000000
102,-0.0000923060,-0.0000026110,1.0539471000,1.6004047000,60.386720660052525,91.69643482290066,0.0003414484475291665,-0.00040334473858147184,0.0102000000
103,-0.0000926486,-0.0000021545,1.0525835000,1.6036618000,60.30859213510848,91.88305290635272,0.0003437986874977444,-0.0004051078418798736,0.0103000000
104,-0.0000929861,-0.0000017029,1.0519018000,1.6075285000,60.269533602214416,92.10459849699595,0.0003466614422988756,-0.0004087148937504313,0.0104000000
105,-0.0000933211,-0.0000012574,1.0505382000,1.6106645000,60.19140507727038,92.28427806154897,0.00034896988844231735,-0.00041038127679016753,0.0105000000
106,-0.0000936509,-0.0000008166,1.0498565000,1.6144255000,60.15234654437631,92.49976748829769,0.000351820180836214,-0.0004139462373817373,0.0106000000
107,-0.0000939782,-0.0000003817,1.0484929000,1.6174479000,60.07421801943227,92.67293825229802,0.00035408750949543857,-0.00041551805066323503,0.0107000000
108,-0.0000943003,0.0000000486,1.0478111000,1.6210891000,60.03515375696026,92.88156364466107,0.00035690972599460106,-0.00041901403722446277,0.0108000000
109,-0.0000946200,0.0000004733,1.0471294000,1.6246756000,59.99609522406618,93.08705495788473,0.0003597259729997904,-0.00042249231058973026,0.0109000000
110,-0.0000949370,0.0000008924,1.0457658000,1.6275318000,59.917966699122154,93.25070316333,0.0003619299357226606,-0.0004239209890553107,0.0110000000
111,-0.0000952490,0.0000013072,1.0450841000,1.6310139000,59.87890816622807,93.4502127971725,0.0003647227999429293,-0.0004273391658311649,0.0111000000
112,-0.0000955585,0.0000017165,1.0437205000,1.6337566000,59.800779641284045,93.60735793164302,0.00036687344786140116,-0.00042865492607584653,0.0112000000
113,-0.0000958628,0.0000021217,1.0430388000,1.6371255000,59.76172110838996,93.80038168324465,0.0003696308647945591,-0.00043199286589042107,0.0113000000
114,-0.0000961647,0.0000025217,1.0423570000,1.6404341000,59.722656845917946,93.98995049934165,0.00037237147329502636,-0.00043529456899837286,0.0114000000
115,-0.0000964639,0.0000029166,1.0409935000,1.6430258000,59.644534050551854,94.13844397110569,0.0003744531272366297,-0.0004364614124022856,0.0115000000
116,-0.0000967581,0.0000033075,1.0403117000,1.6462595000,59.60546978807984,94.32372133331715,0.00037718335062449863,-0.00043972659751815647,0.0116000000
117,-0.0000970498,0.0000036934,1.0396299000,1.6494328000,59.56640552560783,94.50553803044602,0.0003798932933343667,-0.00044295005337029994,0.0117000000
118,-0.0000973389,0.0000040744,1.0389481000,1.6525459000,59.52734126313581,94.68390552164819,0.00038258164203320747,-0.0004461296509396522,0.0118000000
119,-0.0000976255,0.0000044507,1.0375846000,1.6549260000,59.44921846776972,94.82027520646727,0.0003845493011190845,-0.0004470633390058459,0.0119000000
120,-0.0000979071,0.0000048233,1.0369028000,1.6579793000,59.4101542052977,94.99521641005457,0.00038723251251714,-0.0004502160426119176,0.0120000000
121,-0.0000981861,0.0000051912,1.0362211000,1.6609111000,59.37109567240363,95.16319617643103,0.0003898353804377006,-0.0004532261224154604,0.0121000000
122,-0.0000984625,0.0000055546,1.0348575000,1.6631705000,59.29296714745959,95.2926502606629,0.00039173769218985553,-0.0004540224292126384,0.0122000000
123,-0.0000987339,0.0000059145,1.0341758000,1.6660426000,59.253908614565525,95.45720946900241,0.00039432898795525357,-0.0004569958507557616,0.0123000000
124,-0.0000990028,0.0000062700,1.0334940000,1.6689154000,59.2148443520935,95.62180878438758,0.0003969477820430775,-0.0004600085165874135,0.0124000000
